2023-05-07T05:35:13.388Z | YeYFx | desmond | 0
2023-05-07T05:35:13.638Z | YeYFx | desmond | 2311689.421989579
2023-05-07T05:35:14.766Z | YeYFx | huuhu | 0
2023-05-07T05:35:26.562Z | YeYFx | desmond | 0.0002938638788787347
2023-05-07T05:35:29.063Z | YeYFx | huuhu | 0.0005012185481155627
2023-05-07T05:35:44.900Z | YeYFx | huuhu | 0.003998538838875737
2023-05-07T05:35:44.950Z | YeYFx | huuhu | 0.01790605851560837
2023-05-07T05:35:44.249Z | YeYFx | desmond | 0.00036393096219823195
2023-05-07T05:35:45.303Z | YeYFx | huuhu | 0.00020342520259908337
2023-05-07T05:36:02.354Z | YeYFx | desmond | 0.0007001576381268266
2023-05-07T05:36:04.827Z | YeYFx | huuhu | 0.00020815605277613164
2023-05-07T05:36:14.692Z | YeYFx | desmond | 0.0016797398666979111
2023-05-07T05:36:15.456Z | YeYFx | desmond | 0.00035110246735017847
2023-05-07T05:36:16.592Z | YeYFx | desmond | 0.00037164664631706427
2023-05-07T05:36:17.171Z | YeYFx | desmond | 0.00037351395302738207
2023-05-07T05:36:27.094Z | YeYFx | desmond | 0.0002502543265620775
2023-05-07T05:36:27.417Z | YeYFx | desmond | 0.018130637044398084
2023-05-07T05:36:28.245Z | YeYFx | huuhu | 0.011512784688973206
2023-05-07T05:36:31.007Z | YeYFx | desmond | 0.0005640144610020829
2023-05-07T05:36:31.310Z | YeYFx | desmond | 0.004616606790230597
2023-05-07T05:36:33.691Z | YeYFx | desmond | 0.00047512889980493174
2023-05-07T05:36:34.012Z | YeYFx | desmond | 0.004298685099009352
2023-05-07T05:36:35.313Z | YeYFx | desmond | 0.0005798957093856918
2023-05-07T05:36:35.569Z | YeYFx | desmond | 0.0014834597659465648
2023-05-07T05:36:38.709Z | YeYFx | desmond | 0.00041903529328124906
2023-05-07T05:36:43.008Z | YeYFx | huuhu | 0.00008030686740646859
2023-05-07T05:36:43.182Z | YeYFx | huuhu | 0.005881566091337758
2023-05-07T05:36:42.508Z | YeYFx | desmond | 0.004585152191434111
2023-05-07T05:36:43.492Z | YeYFx | huuhu | 0.0003217658136701091
2023-05-07T05:36:55.942Z | YeYFx | huuhu | 0.0002263583661728501
2023-05-07T05:36:59.214Z | YeYFx | huuhu | 0.00469683859739811
2023-05-07T05:37:01.370Z | YeYFx | huuhu | 0.002550443574179609
