2023-05-07T20:40:24.458Z | peMTD | user0 | 0
2023-05-07T20:40:28.478Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:28.822Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:29.479Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:29.824Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:30.481Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:30.827Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:31.483Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:31.828Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:32.485Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:32.830Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:33.486Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:33.831Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:34.488Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:34.833Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:35.491Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:35.835Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:36.493Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:36.837Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:37.495Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:37.839Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:38.497Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:38.841Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:39.500Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:39.842Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:40.501Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:40.845Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:41.503Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:41.846Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:42.506Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:42.847Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:43.507Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:43.849Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:44.509Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:44.851Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:45.511Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:45.852Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:46.513Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:46.854Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:47.514Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:47.856Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:48.516Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:48.858Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:49.518Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:49.859Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:50.519Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:50.861Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:51.522Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:51.862Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:52.524Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:52.864Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:53.525Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:53.866Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:54.528Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:54.868Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:55.531Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:55.870Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:56.532Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:56.871Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:40:57.547Z | peMTD | user0 | 0.00004225268050766617
2023-05-07T20:40:57.876Z | peMTD | mansi | 0.00007905346290286769
2023-05-07T20:41:07.922Z | peMTD | mansi | 0.00010782928626871774
2023-05-07T20:41:08.600Z | peMTD | user0 | 0.00018870194814316383
2023-05-07T20:41:08.923Z | peMTD | mansi | 0.00010782928626871774
2023-05-07T20:41:09.601Z | peMTD | user0 | 0.00018870194814316383
2023-05-07T20:41:09.925Z | peMTD | mansi | 0.00010782928626871774
2023-05-07T20:41:10.603Z | peMTD | user0 | 0.00018870194814316383
2023-05-07T20:41:10.928Z | peMTD | mansi | 0.00010782928626871774
2023-05-07T20:41:11.605Z | peMTD | user0 | 0.00018870194814316383
2023-05-07T20:41:11.930Z | peMTD | mansi | 0.00010782928626871774
2023-05-07T20:41:12.606Z | peMTD | user0 | 0.00018870194814316383
2023-05-07T20:41:12.931Z | peMTD | mansi | 0.00010782928626871774
2023-05-07T20:41:13.608Z | peMTD | user0 | 0.00018870194814316383
2023-05-07T20:41:13.934Z | peMTD | mansi | 0.00010782928626871774
2023-05-07T20:41:14.610Z | peMTD | user0 | 0.00018870194814316383
2023-05-07T20:41:14.936Z | peMTD | mansi | 0.00010782928626871774
2023-05-07T20:41:15.611Z | peMTD | user0 | 0.00018870194814316383
2023-05-07T20:41:15.938Z | peMTD | mansi | 0.00010782928626871774
2023-05-07T20:41:16.613Z | peMTD | user0 | 0.00018870194814316383
2023-05-07T20:41:16.939Z | peMTD | mansi | 0.00010782928626871774
2023-05-07T20:41:17.615Z | peMTD | user0 | 0.00018870194814316383
2023-05-07T20:41:17.941Z | peMTD | mansi | 0.00010782928626871774
2023-05-07T20:41:18.616Z | peMTD | user0 | 0.00018870194814316383
2023-05-07T20:41:18.943Z | peMTD | mansi | 0.00010782928626871774
2023-05-07T20:41:19.618Z | peMTD | user0 | 0.00018870194814316383
2023-05-07T20:41:19.945Z | peMTD | mansi | 0.00010782928626871774
2023-05-07T20:41:20.619Z | peMTD | user0 | 0.00018870194814316383
2023-05-07T20:41:20.946Z | peMTD | mansi | 0.00010782928626871774
2023-05-07T20:41:21.630Z | peMTD | user0 | 0.00018870194814316383
2023-05-07T20:41:21.960Z | peMTD | mansi | 0.00010782928626871774
2023-05-07T20:41:28.658Z | peMTD | user0 | 0.00005928081387028423
2023-05-07T20:41:28.988Z | peMTD | mansi | 0.000021688101882871795
2023-05-07T20:41:29.659Z | peMTD | user0 | 0.00005928081387028423
2023-05-07T20:41:29.990Z | peMTD | mansi | 0.000021688101882871795
2023-05-07T20:41:30.660Z | peMTD | user0 | 0.00005928081387028423
2023-05-07T20:41:30.991Z | peMTD | mansi | 0.000021688101882871795
2023-05-07T20:41:31.662Z | peMTD | user0 | 0.00005928081387028423
2023-05-07T20:41:31.994Z | peMTD | mansi | 0.000021688101882871795
2023-05-07T20:41:32.664Z | peMTD | user0 | 0.00005928081387028423
2023-05-07T20:41:32.997Z | peMTD | mansi | 0.000021688101882871795
2023-05-07T20:41:33.666Z | peMTD | user0 | 0.00005928081387028423
2023-05-07T20:41:33.998Z | peMTD | mansi | 0.000021688101882871795
2023-05-07T20:41:34.667Z | peMTD | user0 | 0.00005928081387028423
2023-05-07T20:41:34.999Z | peMTD | mansi | 0.000021688101882871795
2023-05-07T20:41:35.669Z | peMTD | user0 | 0.00005928081387028423
2023-05-07T20:41:36.001Z | peMTD | mansi | 0.000021688101882871795
2023-05-07T20:41:36.670Z | peMTD | user0 | 0.00005928081387028423
2023-05-07T20:41:37.002Z | peMTD | mansi | 0.000021688101882871795
2023-05-07T20:41:37.672Z | peMTD | user0 | 0.00005928081387028423
2023-05-07T20:41:38.004Z | peMTD | mansi | 0.000021688101882871795
2023-05-07T20:41:38.673Z | peMTD | user0 | 0.00005928081387028423
2023-05-07T20:41:39.006Z | peMTD | mansi | 0.000021688101882871795
2023-05-07T20:41:39.674Z | peMTD | user0 | 0.00005928081387028423
2023-05-07T20:41:40.007Z | peMTD | mansi | 0.000021688101882871795
2023-05-07T20:41:40.681Z | peMTD | user0 | 0.00005928081387028423
2023-05-07T20:41:51.054Z | peMTD | mansi | 0.000035276427919139074
2023-05-07T20:41:51.741Z | peMTD | user0 | 0.0000970097883626079
2023-05-07T20:41:52.055Z | peMTD | mansi | 0.000035276427919139074
2023-05-07T20:41:52.743Z | peMTD | user0 | 0.0000970097883626079
2023-05-07T20:41:53.058Z | peMTD | mansi | 0.000035276427919139074
2023-05-07T20:41:53.745Z | peMTD | user0 | 0.0000970097883626079
2023-05-07T20:41:54.060Z | peMTD | mansi | 0.000035276427919139074
